Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
relational.LessThanEqualEvaluator,less:than:equal,@LTEEvaluator,none,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
expression.QuoteEvaluator,quote,@QuoteEvaluator,quote,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
expression.QuoteEvaluator,quote,@QuoteEvaluator,quote,eval,none,Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
logical.OrEvaluator,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.Environment,environment,main.lisp.evaluator.Environment,environment,newChild,new:child
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.IdentifierAtom,identifier:atom,main.lisp.parser.terms.IdentifierAtom,identifier:atom,assign,assign
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.IdentifierAtom,identifier:atom,main.lisp.parser.terms.IdentifierAtom,identifier:atom,assign,assign
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
functional.LetEvaluator,let,LetEvaluator,let,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
logical.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
logical.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
logical.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
logical.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
logical.NotEvaluator,not,@NotEvaluator,not,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
relational.GreaterThanEqualEvaluator,greater:than:equal,@GTEEvaluator,gte,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.ExpressionFactory,expression:factory,main.lisp.parser.terms.ExpressionFactory,expression:factory,newInstance,new:instance
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtom,nil:atom,main.lisp.parser.terms.NilAtom,nil:atom,NilAtom,nil:atom
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.ExpressionFactory,expression:factory,main.lisp.parser.terms.ExpressionFactory,expression:factory,newInstance,new:instance
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,expression.ListEvaluator,list,@ListEvaluator,list,helper,helper
expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.ExpressionFactory,expression:factory,main.lisp.parser.terms.ExpressionFactory,expression:factory,newInstance,new:instance
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtom,nil:atom,main.lisp.parser.terms.NilAtom,nil:atom,NilAtom,nil:atom
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.ExpressionFactory,expression:factory,main.lisp.parser.terms.ExpressionFactory,expression:factory,newInstance,new:instance
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,expression.ListEvaluator,list,@ListEvaluator,list,helper,helper
expression.ListEvaluator,list,@ListEvaluator,list,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
a5.RunLisp,run:lisp,@Main,main,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,evaluators.LispOperationRegisterer,lisp:operation,@CustomOperationRegisterer,custom:operation,LispOperationRegisterer,lisp:operation
a5.RunLisp,run:lisp,@Main,main,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,evaluators.LispOperationRegisterer,lisp:operation,@CustomOperationRegisterer,custom:operation,registerOperations,register:operations
a5.RunLisp,run:lisp,@Main,main,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.ExpressionFactory,expression:factory,main.lisp.parser.terms.ExpressionFactory,expression:factory,setClass,set:class
a5.RunLisp,run:lisp,@Main,main,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.environment.EnvironmentFactory,environment:factory,main.lisp.evaluator.environment.EnvironmentFactory,environment:factory,setClass,set:class
a5.RunLisp,run:lisp,@Main,main,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.IdentifierAtomFactory,identifier:atom:factory,main.lisp.parser.terms.IdentifierAtomFactory,identifier:atom:factory,setClass,set:class
a5.RunLisp,run:lisp,@Main,main,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.ExpressionEvaluatorFactory,expression:factory,main.lisp.evaluator.ExpressionEvaluatorFactory,expression:factory,setClass,set:class
a5.RunLisp,run:lisp,@Main,main,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.Main,main,main.Main,main,main,main
expression.CondEvaluator,none,@CondEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
expression.CondEvaluator,none,@CondEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isNIL,is:nil
expression.CondEvaluator,none,@CondEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
